Source,Target,Weight
rasos,thiloplanz,1
rasos,Stemby,1
thiloplanz,Stemby,1
davout,mgiuca,1
davout,Kiv,1
davout,sipa,1
davout,enterprisey,1
davout,laanwj,2
davout,jgarzik,2
davout,Diapolo,1
mgiuca,Kiv,1
mgiuca,sipa,1
mgiuca,enterprisey,1
mgiuca,laanwj,1
mgiuca,jgarzik,1
mgiuca,Diapolo,1
Kiv,sipa,1
Kiv,enterprisey,1
Kiv,laanwj,1
Kiv,jgarzik,1
Kiv,Diapolo,1
sipa,enterprisey,2
sipa,laanwj,370
sipa,jgarzik,52
sipa,Diapolo,98
enterprisey,laanwj,2
enterprisey,jgarzik,1
enterprisey,Diapolo,1
laanwj,jgarzik,66
laanwj,Diapolo,239
jgarzik,Diapolo,20
fabianhjr,dooglus,1
fabianhjr,RytisLT,1
fabianhjr,jeffWelling,1
fabianhjr,ghost,1
fabianhjr,jhyslop,1
fabianhjr,genjix,1
fabianhjr,thiloplanz,1
fabianhjr,borneq,1
fabianhjr,benlake,1
fabianhjr,alexgenaud,1
fabianhjr,wherget,1
fabianhjr,NickyYangYang,1
fabianhjr,freedom1372,1
dooglus,RytisLT,1
dooglus,jeffWelling,1
dooglus,ghost,4
dooglus,jhyslop,1
dooglus,genjix,1
dooglus,thiloplanz,1
dooglus,borneq,1
dooglus,benlake,1
dooglus,alexgenaud,1
dooglus,wherget,1
dooglus,NickyYangYang,1
dooglus,freedom1372,1
RytisLT,jeffWelling,1
RytisLT,ghost,1
RytisLT,jhyslop,1
RytisLT,genjix,1
RytisLT,thiloplanz,1
RytisLT,borneq,1
RytisLT,benlake,1
RytisLT,alexgenaud,1
RytisLT,wherget,1
RytisLT,NickyYangYang,1
RytisLT,freedom1372,1
jeffWelling,ghost,1
jeffWelling,jhyslop,1
jeffWelling,genjix,1
jeffWelling,thiloplanz,1
jeffWelling,borneq,1
jeffWelling,benlake,1
jeffWelling,alexgenaud,1
jeffWelling,wherget,1
jeffWelling,NickyYangYang,1
jeffWelling,freedom1372,1
ghost,jhyslop,1
ghost,genjix,1
ghost,thiloplanz,1
ghost,borneq,1
ghost,benlake,1
ghost,alexgenaud,1
ghost,wherget,1
ghost,NickyYangYang,1
ghost,freedom1372,1
jhyslop,genjix,1
jhyslop,thiloplanz,1
jhyslop,borneq,1
jhyslop,benlake,1
jhyslop,alexgenaud,1
jhyslop,wherget,1
jhyslop,NickyYangYang,1
jhyslop,freedom1372,1
genjix,thiloplanz,1
genjix,borneq,1
genjix,benlake,1
